First Level,Page,Second Level,Third Level,Option
SHOOT,1,Image Quality,RAW,-
SHOOT,1,Image Quality,RAW,RAW
SHOOT,1,Image Quality,RAW,M-RAW
SHOOT,1,Image Quality,RAW,S-RAW
SHOOT,1,Image Quality,JPEG,-
SHOOT,1,Image Quality,JPEG,L Fine
SHOOT,1,Image Quality,JPEG,L
SHOOT,1,Image Quality,JPEG,M Fine
SHOOT,1,Image Quality,JPEG,M
SHOOT,1,Image Quality,JPEG,S1 Fine
SHOOT,1,Image Quality,JPEG,S1
SHOOT,1,Image Quality,JPEG,S2
SHOOT,1,Image Quality,JPEG,S3
SHOOT,1,Dual Pixel RAW,Disable
SHOOT,1,Dual Pixel RAW,Enable
SHOOT,1,Image Review,Off
SHOOT,1,Image Review,2 sec.
SHOOT,1,Image Review,4 sec.
SHOOT,1,Image Review,8 sec.
SHOOT,1,Image Review,Hold
SHOOT,1,Beep,Enable
SHOOT,1,Beep,Touch to (mute)
SHOOT,1,Beep,Disable
SHOOT,1,Release Shutter Without Card,Enable
SHOOT,1,Release Shutter Without Card,Disable
SHOOT,1,Lens aberration correction,Peripheral illum corr,Enable
SHOOT,1,Lens aberration correction,Peripheral illum corr,Disable
SHOOT,1,Lens aberration correction,Distortion correction,Enable
SHOOT,1,Lens aberration correction,Distortion correction,Disable
SHOOT,1,Lens aberration correction,Digital Lens Optimizer,Enable
SHOOT,1,Lens aberration correction,Digital Lens Optimizer,Disable
SHOOT,1,Lens aberration correction,Chromatic aberr corr,Enable
SHOOT,1,Lens aberration correction,Chromatic aberr corr,Disable
SHOOT,1,Lens aberration correction,Diffraction correction,Enable
SHOOT,1,Lens aberration correction,Diffraction correction,Disable
SHOOT,1,External Speedlite control,Flash firing,Enable
SHOOT,1,External Speedlite control,Flash firing,Disable
SHOOT,1,External Speedlite control,E-TTL II meter.,Evaluative
SHOOT,1,External Speedlite control,E-TTL II meter.,Average
SHOOT,1,External Speedlite control,Flash sync. speed in Av mode,AUTO
SHOOT,1,External Speedlite control,Flash sync. speed in Av mode,1/200-1/60sec. auto
SHOOT,1,External Speedlite control,Flash sync. speed in Av mode,1/200sec. (fixed)
SHOOT,2,Exposure Compensation/AEB,±5 stops
SHOOT,2,ISO Speed Settings,100-32000
SHOOT,2,Auto Lighting Optimizer,Disable
SHOOT,2,Auto Lighting Optimizer,Low
SHOOT,2,Auto Lighting Optimizer,Standard
SHOOT,2,Auto Lighting Optimizer,High
SHOOT,3,Picture Style,Auto
SHOOT,3,Picture Style,Standard
SHOOT,3,Picture Style,Portrait
SHOOT,3,Picture Style,Landscape
SHOOT,3,Picture Style,Fine Detail
SHOOT,3,Picture Style,Neutral
SHOOT,3,Picture Style,Faithful
SHOOT,3,Picture Style,Monochrome
SHOOT,3,Picture Style,User Defined 1
SHOOT,3,Picture Style,User Defined 2
SHOOT,3,Picture Style,User Defined 3
SHOOT,3,Long Exposure Noise Reduction,Off
SHOOT,3,Long Exposure Noise Reduction,Auto
SHOOT,3,Long Exposure Noise Reduction,On
SHOOT,3,High ISO Speed Noise Reduction,Off
SHOOT,3,High ISO Speed Noise Reduction,Low
SHOOT,3,High ISO Speed Noise Reduction,Standard
SHOOT,3,High ISO Speed Noise Reduction,High
SHOOT,3,White Balance,Auto
